date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-09-13,1263.8,1264.75,1231.8,1238.28,5600511.0,7329376917.0,1256197800.0,0.004458303461445323
2024-09-18,1234.36,1234.37,1202.71,1202.93,4618531.0,5895948011.0,1256197800.0,0.003676595357832978
2024-09-19,1198.28,1227.6,1182.93,1197.33,5998821.0,7623739997.0,1256197800.0,0.004775379323224416
2024-09-20,1197.81,1209.58,1186.92,1200.1,3998184.0,5038507835.0,1256197800.0,0.0031827662809153145
2024-09-23,1203.98,1228.19,1197.01,1197.84,4554969.0,5809791682.0,1256197800.0,0.0036259966384274834
2024-09-24,1220.21,1303.68,1201.22,1303.3,10041281.0,13297277523.0,1256197800.0,0.007993391645806099
2024-09-25,1329.36,1354.95,1326.19,1328.36,7395380.0,10420109655.0,1256197800.0,0.005887114274519507
2024-09-26,1329.28,1452.63,1325.52,1451.8,9727806.0,14269262657.0,1256197800.0,0.007743848938439472
2024-09-27,1519.22,1546.94,1486.32,1546.94,8792167.0,14050260569.0,1256197800.0,0.006999030725893645
2024-09-30,1606.57,1671.02,1568.59,1659.74,15729341.0,26982747037.0,1256197800.0,0.012521388749446942
2024-10-08,1813.56,1813.56,1595.35,1636.0,19470947.0,35114075007.0,1256197800.0,0.015499905349300883
2024-10-09,1614.17,1614.17,1509.72,1514.61,12019684.0,19708432734.0,1256197800.0,0.009568305246196101
2024-10-10,1540.35,1583.86,1510.67,1557.2,7460342.0,12198964035.0,1256197800.0,0.005938827468094595
2024-10-11,1533.84,1557.16,1509.72,1523.95,4191471.0,6764982707.0,1256197800.0,0.0033366329729283078
2024-10-14,1531.56,1538.8,1501.34,1521.1,4481202.0,7181350822.0,1256197800.0,0.0035672741983786313
2024-10-15,1518.27,1520.16,1474.6,1475.78,4357143.0,6884141869.0,1256197800.0,0.0034685166619460727
2024-10-16,1463.08,1471.55,1433.76,1445.63,4666440.0,7140169692.0,1256197800.0,0.003714733459969441
2024-10-17,1459.4,1460.02,1418.01,1419.14,3945955.0,5964778958.0,1256197800.0,0.003141189229912678
2024-10-18,1417.62,1488.68,1404.29,1463.19,6861930.0,10418043492.0,1256197800.0,0.005462459813255524
2024-10-21,1463.39,1471.71,1444.4,1451.61,4200790.0,6433918335.0,1256197800.0,0.003344051390632908
2024-10-22,1449.48,1481.41,1447.24,1465.09,3626913.0,5607826492.0,1256197800.0,0.002887214895615961
2024-10-23,1466.15,1497.33,1454.65,1488.36,4008846.0,6259600035.0,1256197800.0,0.0031912537977697463
2024-10-24,1482.18,1495.48,1467.0,1473.83,2392280.0,3723973209.0,1256197800.0,0.0019043816188819946
2024-10-25,1468.89,1495.28,1467.95,1480.14,2774508.0,4328271351.0,1256197800.0,0.0022086553566643724
